review_text,rating,review_date,product_name
배송이 빠르고 보온력이 정말 좋아요,5,2026-07-01,텀블러
색상이 예쁘고 손에 잡기 편합니다,5,2026-07-02,텀블러
뚜껑이 조금 헐거워서 물이 샐 때가 있어요,2,2026-07-03,텀블러
가격 대비 품질이 무난한 편입니다,3,2026-07-04,텀블러
얼음이 오래 유지되어 여름에 유용해요,5,2026-07-05,텀블러
입구가 좁아서 세척하기 조금 불편합니다,2,2026-07-06,텀블러
가볍고 가방에 넣어 다니기 좋습니다,4,2026-07-07,텀블러
표면 마감이 깔끔하고 고급스러워요,5,2026-07-08,텀블러
뜨거운 음료를 넣으면 겉면도 따뜻해져요,3,2026-07-09,텀블러
포장이 찌그러져 도착해서 아쉬웠습니다,2,2026-07-10,텀블러
음질이 선명하고 저음도 충분합니다,5,2026-07-11,무선 이어폰
연결이 빠르고 사용 방법이 간단해요,5,2026-07-12,무선 이어폰
지하철에서 가끔 연결이 끊겨 불편합니다,2,2026-07-13,무선 이어폰
배터리는 보통 수준이고 충전은 빠릅니다,3,2026-07-14,무선 이어폰
귀에 잘 맞아서 오래 사용해도 편안해요,4,2026-07-15,무선 이어폰
통화할 때 상대방이 소리가 작다고 합니다,2,2026-07-16,무선 이어폰
노이즈 캔슬링 성능이 기대보다 좋아요,5,2026-07-17,무선 이어폰
케이스가 작고 휴대하기 매우 편합니다,4,2026-07-18,무선 이어폰
터치 조작이 민감해서 실수가 생깁니다,3,2026-07-19,무선 이어폰
한쪽 소리가 가끔 약해지는 점이 아쉬워요,2,2026-07-20,무선 이어폰
밝기 조절 단계가 다양해서 만족합니다,5,2026-07-21,탁상 조명
디자인이 단순해서 어느 책상에도 잘 어울려요,4,2026-07-22,탁상 조명
가장 낮은 밝기도 밤에는 조금 눈부십니다,3,2026-07-23,탁상 조명
조명 각도를 쉽게 바꿀 수 있어 편리해요,5,2026-07-24,탁상 조명
받침대가 가벼워서 건드리면 흔들립니다,2,2026-07-25,탁상 조명
버튼 반응이 빠르고 조작감이 좋습니다,4,2026-07-26,탁상 조명
보통 밝기로 쓰기에는 무난한 제품입니다,3,2026-07-27,탁상 조명
USB 케이블이 조금 짧아서 배치가 불편해요,2,2026-07-28,탁상 조명
별점 범위가 잘못된 샘플입니다,6,2026-07-29,텀블러
날짜 형식이 잘못된 샘플입니다,4,2026-13-01,무선 이어폰
,3,2026-07-30,탁상 조명
별로,1,2026-07-31,텀블러
배송이 빠르고 보온력이 정말 좋아요,5,2026-07-01,텀블러
포장이 찌그러져 도착해서 아쉬웠습니다,2,2026-07-10,텀블러
