date,value,memo
2025-01-01,78.0,
2025-01-02,78.0,
2025-01-03,78.1,
2025-01-05,78.1,
2025-01-06,78.1,
2025-01-07,78.1,
2025-01-09,78.1,
2025-01-10,78.1,
2025-01-11,78.1,
2025-01-13,78.1,
2025-01-14,78.0,
2025-01-15,78.0,
2025-01-17,77.9,
2025-01-18,77.9,
2025-01-19,77.8,
2025-01-21,77.7,
2025-01-22,77.6,
2025-01-23,77.5,
2025-01-25,77.4,
2025-01-26,77.3,
2025-01-27,77.2,
2025-01-29,77.1,
2025-01-30,77.0,
2025-01-31,76.9,
2025-02-02,76.9,
2025-02-03,76.8,
2025-02-04,76.7,
2025-02-06,76.7,
2025-02-07,76.6,
2025-02-08,76.6,
2025-02-10,76.6,
2025-02-11,76.6,
2025-02-12,76.6,
2025-02-14,76.6,
2025-02-15,76.6,
2025-02-16,76.6,
2025-02-18,76.6,
2025-02-19,76.7,
2025-02-20,76.7,
2025-02-22,76.7,
2025-02-23,76.7,
2025-02-24,76.8,
2025-02-26,76.8,
2025-02-27,76.8,
2025-02-28,76.8,
2025-03-02,76.8,
2025-03-03,76.8,
2025-03-04,76.8,
2025-03-06,76.7,
2025-03-07,76.7,
2025-03-08,76.6,
2025-03-10,76.5,
2025-03-11,76.5,
2025-03-12,76.4,
2025-03-14,76.3,
2025-03-15,76.2,
2025-03-16,76.1,
2025-03-18,76.0,
2025-03-19,75.9,
2025-03-20,75.8,
2025-03-22,75.7,
2025-03-23,75.6,
2025-03-24,75.5,
2025-03-26,75.4,
2025-03-27,75.4,
2025-03-28,75.3,
2025-03-30,75.3,
2025-03-31,75.3,
2025-04-01,75.2,
2025-04-03,75.2,
2025-04-04,75.2,
2025-04-05,75.2,
2025-04-07,75.3,
2025-04-08,75.3,
2025-04-09,75.3,
2025-04-11,75.3,
2025-04-12,75.4,
2025-04-13,75.4,
2025-04-15,75.4,
2025-04-16,75.5,
2025-04-17,75.5,
2025-04-19,75.5,
2025-04-20,75.5,
2025-04-21,75.5,
2025-04-23,75.5,
2025-04-24,75.4,
2025-04-25,75.4,
2025-04-27,75.3,
2025-04-28,75.3,
2025-04-29,75.2,
2025-05-01,75.1,
2025-05-02,75.0,
2025-05-03,74.9,
2025-05-05,74.8,
2025-05-06,74.7,
2025-05-07,74.6,
2025-05-09,74.5,
2025-05-10,74.4,
2025-05-11,74.3,
2025-05-13,74.3,
2025-05-14,74.2,
2025-05-15,74.1,
2025-05-17,74.0,
2025-05-18,74.0,
2025-05-19,74.0,
2025-05-21,73.9,
2025-05-22,73.9,
2025-05-23,73.9,
2025-05-25,73.9,
2025-05-26,73.9,
2025-05-27,74.0,
2025-05-29,74.0,
2025-05-30,74.0,
2025-05-31,74.0,
2025-06-02,74.1,
2025-06-03,74.1,
2025-06-04,74.1,
2025-06-06,74.1,
2025-06-07,74.2,
2025-06-08,74.2,
